open_id,feature_id,requirement_id,topic,current_location,located_source,missing_source,missing_clause,partial_evidence,why_not_ready,required_next_action,owner,priority,design_freeze_blocking,grok_review_status,notes
OPEN-001,F4-P5-016,REQ-5C-0004,live_load:片持部荷重,PARTIALLY_LOCATED,DOC-RBS-I,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,「片持部荷重」という用語の独立定義は未確認。8.2(5)1でゲルバー桁片持ち部の支間長Lの取り方（図-8.2.3）とL荷重適用を規定。,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-002,F4-P5-017,REQ-5C-0005,arbitrary_load:その他面荷重,PARTIALLY_LOCATED,DOC-RBS-I,UNKNOWN,NOT_FOUND_IN_SEARCHED_SCOPE,"道示は記号別作用(D,L,I等)として規定。3.1(1)に「その他」作用が列挙。APOLLOの任意面荷重用語の直接定義は未確認。",PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-003,F4-P5-018,REQ-5C-0006,arbitrary_load:その他線荷重,PARTIALLY_LOCATED,DOC-RBS-I,UNKNOWN,NOT_FOUND_IN_SEARCHED_SCOPE,3.1(1)で荷重・影響を記号別に列挙。線荷重という独立カテゴリ名は未確認。L荷重等の分布荷重規定は8.2参照。,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-004,F4-P5-019,REQ-5C-0007,arbitrary_load:その他点荷重,PARTIALLY_LOCATED,DOC-RBS-I,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,集中荷重としてT荷重（図-8.2.1）の載荷位置・載荷面を8.2(4)で規定。任意点荷重用語の直接定義は未確認。,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-005,F4-P5-020,REQ-5C-0008,arbitrary_load:支点沈下バネ,PARTIALLY_LOCATED,DOC-RBS-I,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,「支点沈下バネ」用語は未確認。8.14で支点移動の影響(SD)と部材力算定方法を規定。バネ定数の明示規定は本頁未確認。,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-006,F4-P5-021,REQ-5C-0009,arbitrary_load:水平荷重,PARTIALLY_LOCATED,DOC-RBS-I,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,水平方向荷重は3.1で遠心(CF)・制動(BK)・風(WS/WL)等として列挙。8.15で遠心荷重、8.17で風荷重を規定（本packageでは8.15頁を確認）。,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-007,F4-P5-034,REQ-5C-0010,point_load:point_load (covered under arbitrary_load),PARTIALLY_LOCATED,DOC-RBS-I,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,H5A-0240と同根拠。集中荷重(T荷重)規定が該当候補。,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-008,F4-P5-035,REQ-5C-0011,line_load:line_load (covered under arbitrary_load),PARTIALLY_LOCATED,DOC-RBS-I,UNKNOWN,NOT_FOUND_IN_SEARCHED_SCOPE,H5A-0239と同根拠。線荷重名の直接規定は未確認。L荷重等の分布規定は8.2。,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-009,F4-P5-036,REQ-5C-0012,surface_load:surface_load (covered under arbitrary_load),PARTIALLY_LOCATED,DOC-RBS-I,UNKNOWN,NOT_FOUND_IN_SEARCHED_SCOPE,H5A-0238と同根拠。面荷重名の直接規定は未確認。,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-010,F4-P3-001,REQ-5C-0014,section_change:断面変化位置の追加方法,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,最小板厚・幅厚比・断面変化・補剛要否は5章部材設計一般規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-011,F4-P3-002,REQ-5C-0015,section_change:断面変化位置の自動決定,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,最小板厚・幅厚比・断面変化・補剛要否は5章部材設計一般規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-012,F4-P3-003,REQ-5C-0016,section_change:断面変化位置の手動入力,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,最小板厚・幅厚比・断面変化・補剛要否は5章部材設計一般規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-013,F4-P3-004,REQ-5C-0017,section_change:断面変化位置の微調整,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,最小板厚・幅厚比・断面変化・補剛要否は5章部材設計一般規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-014,F4-P3-005,REQ-5C-0018,section_change:断面長の直接入力,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,最小板厚・幅厚比・断面変化・補剛要否は5章部材設計一般規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-015,F4-P3-006,REQ-5C-0019,section_change:断面計算の実行,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,最小板厚・幅厚比・断面変化・補剛要否は5章部材設計一般規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-016,F4-P3-007,REQ-5C-0020,section_change:断面推定機能,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,最小板厚・幅厚比・断面変化・補剛要否は5章部材設計一般規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-017,F4-P3-023,REQ-5C-0033,section_property:断面諸量の計算方法,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,5章断面設計一般・部材寸法規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-018,F4-P3-036,REQ-5C-0042,girder_geometry:girder_geometry,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,11.2主桁断面形状・寸法規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-019,F4-P3-038,REQ-5C-0044,girder_section:girder_section,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,11.2主桁設計規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-020,F4-P4-001,REQ-5C-0047,cross_girder:横桁設計,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,12.3横桁設計・断面力取扱い,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-021,F4-P4-002,REQ-5C-0048,cross_girder:横桁断面力計算,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,12.3横桁設計・断面力取扱い,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-022,F4-P4-003,REQ-5C-0049,cross_girder:横桁断面計算,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,12.3横桁設計・断面力取扱い,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-023,F4-P4-004,REQ-5C-0050,cross_girder:横桁添接計算,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,12.3横桁設計・断面力取扱い,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-024,F4-P4-005,REQ-5C-0051,cross_girder:横桁補剛材計算,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,12.3横桁設計・断面力取扱い,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-025,F4-P4-028,REQ-5C-0074,floor_system:床組設計ボタン説明,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,12章床組・床版支持系の設計規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-026,F4-P4-031,REQ-5C-0076,floor_system:床組データ横桁基本寸法,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,12章床組・床版支持系の設計規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
OPEN-027,F4-P4-032,REQ-5C-0077,stiffener:垂直補剛材データ,PARTIALLY_LOCATED,DOC-RBS-II,UNKNOWN,CROSS_REFERENCE_NOT_YET_CHECKED,5.5.3補剛材一般規定,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,Stage5B additional clause/table review; do not promote without Grok evidence check,APOLLO_SUPERVISOR,P1,UNDECIDED,OPEN_ACCEPTED,Not promoted to READY
