blocker_id,affected_phase1_feature,required_source_or_software,required_edition_or_version,required_license,required_machine,exact_input,exact_procedure,exact_output,checksum_requirement,acceptance_criteria,recommended_owner,recommended_sequence,implementation_impact
BLK-S1-001,R7-backed numeric requirements,R7 primary volumes I-V and colophons,R7 with official errata state,Licensed source access,N/A,Official volume files and colophon pages,Capture title edition publication and errata metadata per volume,Per-volume metadata manifest,SHA-256 for each source file and manifest,All cited R7 volumes fixed to exact edition and errata state,Standards research lead,1,Blocks numeric adoption baseline.
BLK-S1-002,JIS-backed materials and fabrication checks,Official JIS packages,Exact cited editions or approved equivalence,Licensed JIS access,N/A,Per-gap cited JIS documents,Map each DS-02 gap to actual JIS clause and edition,Per-row citation map and review record,SHA-256 for each JIS artifact and register row package,Zero unresolved JIS identity gaps,Standards research lead,2,Blocks materials limits and verification criteria.
BLK-S1-004,Load processing combination and DS-05 numerics,R7 clauses tables and adopted formula packages,R7 exact edition with errata,Licensed source access,N/A,Quantities listed in DS-04 and DS-05 registers,Review adopt and record each clause table formula and applicability,Adoption package per engineering quantity,SHA-256 for all source captures and adoption records,All in-scope load and verification numerics sourced and approved,Standards research lead,3,Blocks solver numerics and design checks.
BLK-S1-005,Material property constants,R7 plus cited JIS manifests,Exact cited editions,Licensed source access,N/A,Each blocked material property in DS-03,Fix property clause table unit applicability and adoption,Property adoption bundle,SHA-256 for each supporting artifact,Zero unsourced adopted material rows,Standards research lead,4,Blocks material database and checks.
DTR-06,Errata closure,Official errata manifests,R7 official errata as of 2026-07-28,Licensed source access,N/A,Per-volume errata notices,Bind errata state to each adopted source package,Errata manifest and review note,SHA-256 for each errata source,No adopted numeric without fixed errata state,Standards research lead,5,Blocks release-level authority.
AN-BLK-001,Analysis adapter binding and parity identity,Analyzer SPACER STATICS executables,Exact version build architecture and locale,Licensed installed products,Authorized licensed host,Installed executables and read-only identity artifacts,Capture product module version build executable path and hashes,Identity bundle,Executable SHA-256 and artifact SHA-256,Identity accepted by independent review,External software custodian,6,Blocks any native compatibility claim.
AN-BLK-002,Minimal machine run and I/O behavior,Analyzer or SPACER runnable package,Exact bound version,Licensed runtime entitlement,Authorized licensed host,Known-good minimal native input,Run minimal valid case via EA-03 package and capture stdout stderr outputs,Native run bundle with before/after manifests,Input and output SHA-256 plus manifest hashes,Minimal valid run accepted and non-stale,External software custodian,7,Blocks executable integration evidence.
AN-BLK-008,Reproducibility,Analyzer or SPACER runnable package,Exact bound version,Licensed runtime entitlement,Authorized licensed host,Same minimal native input repeated three times,Execute repeated isolated runs under identical settings,Three run bundles and reproducibility register,SHA-256 for every input and output artifact,Deterministic comparison passes across three runs,External software custodian,8,Blocks Golden and parity approval.
GOLD-BLK-001,Analytical Goldens,Independent derivation package,N/A,Licensed standards where needed,N/A,Approved analytical cases,Derive expected values independently from Apollo outputs,Independent derivation and approval package,SHA-256 for derivations and expected artifacts,Independent review approves derivations,Verification lead,9,Blocks trusted expected values.
GOLD-BLK-002,Golden tolerance freeze,Tolerance worksheet,N/A,N/A,N/A,Each approved Golden quantity,Freeze tolerances before comparison and bind to case set,Approved tolerance register,Raw file and canonical SHA-256,Tolerances approved before any parity result,Verification lead,10,Blocks reproducible comparisons.
GOLD-BLK-003,Reference software Goldens,Licensed reference software bundle,Exact bound version,Licensed runtime entitlement,Authorized licensed host,Reference native input cases,Run three times and capture native outputs via EA-03,Reference Golden bundle and approval record,Input/output SHA-256 plus executable SHA-256,No circular expected values and three-run reproducibility pass,External software custodian,11,Blocks non-Apollo oracle approval.
GOLD-BLK-007,Design verification Goldens,Approved DS-02 through DS-05 numerics,Adopted source editions,Licensed source access,N/A,Verification cases tied to adopted numerics,Re-derive design verification cases after source closure,Design Golden approval package,SHA-256 for all derivations and review files,All required design checks independently approved,Verification lead,12,Blocks production verification expectations.
PAR-BLK-001,SPACER parity version freeze,SPACER STATICS identity bundle,Exact version build locale architecture,Licensed installed products,Authorized licensed host,Installed parity reference products,Capture parity identity evidence and bind to comparison mapping,Reference identity manifest,Executable and manifest SHA-256,Reference identity fixed with no version mixing,External software custodian,13,Blocks any parity claim.
PAR-BLK-002,Semantic model mapping,Native and Apollo model pair,Exact bound version,Licensed runtime entitlement,Authorized licensed host,Checksum-fixed pair of equivalent models,Prepare mapping package for node member material support load entities,Semantic mapping evidence,SHA-256 for both inputs and mapping records,Independent review confirms topology correspondence,Frame integration lead,14,Blocks semantic parity.
PAR-BLK-003,Coordinate sign and I/J evidence,Native result bundle and transformation proof,Exact bound version,Licensed runtime entitlement,Authorized licensed host,Selected native outputs with equilibrium checks,Capture coordinate DOF sign and member-end correspondence,Transformation and equilibrium bundle,SHA-256 for outputs and evidence package,All transforms justified without post hoc reversal,Frame integration lead,15,Blocks trustworthy comparison normalization.
PAR-BLK-004,Load case and combination mapping,Native/Apollo load case pair,Exact bound version,Licensed runtime entitlement,Authorized licensed host,One-case and asymmetric combination models,Run mapped cases and compare semantic correspondence,Load mapping evidence,SHA-256 for model and output artifacts,Load and combination mapping independently accepted,Frame integration lead,16,Blocks comparison coverage.
PAR-BLK-005,Actual numeric parity,Three native SPACER runs plus Apollo comparison,Exact bound version,Licensed runtime entitlement,Authorized licensed host,Approved parity cases with frozen tolerance and mapping,Execute three native runs then compare through approved harness,Full parity manifest and worst-case summary,Input/output/mapping/tolerance/executable SHA-256,Actual numeric parity passes with disclosed worst error and no excluded mismatch,Frame integration lead,17,Blocks production numeric release and final GO.
