candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
RP-002,ENT-LINE-ACL,report,report.note.CH1-NOTE-001,NOTE,本橋の設計について - 非合成桁を主体とし合成断面の照査を行う。主桁断面決定および継手計算は非合成断面と合成断面の双方を満足させる。中間補剛材も同様。床版・支点補剛材・横桁・横構・疲労設計は非合成桁で代表する。,,,,NOR-011,CH1-NOTE-001,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_policy).
RP-003,ENT-LINE-ACL,report,report.note.CH1-NOTE-002,NOTE,本橋の支承について - 回転照査を満足させるため機能分離型支承と荷重調整型支承の形式比較を行い荷重調整型支承を採用。詳細は報告書2編設計概要書を参照。,,,,NOR-011,CH1-NOTE-002,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_policy).
RP-144,ENT-LINE-ACL,report,report.note.CH2-NOTE-001,NOTE,計算はノーズ部を考慮しない標準幅員で行う。,,,,NOR-011,CH2-NOTE-001,calc_pdf_p16,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind scope_note).
RP-145,ENT-LINE-ACL,report,report.note.CH2-NOTE-002,NOTE,寸法は標準幅員のS1で代表,,,,NOR-011,CH2-NOTE-002,calc_pdf_p18,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_scope).
RP-146,ENT-LINE-ACL,report,report.note.CH2-NOTE-003,NOTE,スラッド高さ: 0.7×hc=0.7×222=155.4≒160mm,,,,NOR-011,CH2-NOTE-003,calc_pdf_p19,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-147,ENT-LINE-ACL,report,report.note.CH2-NOTE-004,NOTE,ハンチ筋は設計断面に考慮する。,,,,NOR-011,CH2-NOTE-004,calc_pdf_p20,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-148,ENT-LINE-ACL,report,report.note.CH2-NOTE-005,NOTE,鋼板の膜作用による曲げモーメントと鋼板+横リブの梁としての曲げモーメントを照査する。,,,,NOR-011,CH2-NOTE-005,calc_pdf_p21,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind method_note).
RP-149,ENT-LINE-ACL,report,report.note.CH2-NOTE-006,NOTE,鋼板を主桁と横リブで囲まれた4辺固定支持板としてモデル化。,,,,NOR-011,CH2-NOTE-006,calc_pdf_p21,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind method_note).
RP-150,ENT-LINE-ACL,report,report.note.CH2-NOTE-007,NOTE,係数βx、βyは構造力学公式集:平板の数値表により算出する。,,,,NOR-011,CH2-NOTE-007,calc_pdf_p21,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind method_note).
RP-151,ENT-LINE-ACL,report,report.note.CH2-NOTE-008,NOTE,道示Ⅱ 11.5 式11.5.2,,,,NOR-011,CH2-NOTE-008,calc_pdf_p29,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind reference_note).
