traceability_id,feature_id,feature_category,feature_name,subfeature_name,phase_class,stage5a_class,external_source_type,priority,verification_question,why_verification_is_needed,manual_id,pdf_page,book_page,section,screen_name,manual_evidence_summary,explicit_standard_name,explicit_standard_edition,historical_edition_status,target_edition_status,numeric_value_present,formula_present,table_present,ocr_risk,blocking_for_design,related_feature_ids,stage5b_action,notes,status
T5A-0001,F4-P1-001,project_management,工事名フォルダ,データ保存先|src:F4-1-001,Phase1_required,SOFTWARE_SPECIFIC,APOLLO_MANUAL_ONLY,P2,外部基準照合は不要。APOLLOの入出力・処理手順・ファイル形式として仕様候補を固定する。,画面/ファイル/処理順のソフト仕様,MAN-021,10,2-2-2 ②,新規作成ダイアログ,NONE,「データはここで入力した工事名のフォルダの中に作成されます（既定ではC:\y-Design-Bridge\工事名といフォルダになります）」,NONE,NONE,UNKNOWN,NOT_SELECTED,NO,NO,NO,LOW,NO,NONE,NO_EXTERNAL_LOOKUP,candidate_hint=YES,IDENTIFIED
T5A-0002,F4-P1-002,project_management,新規作成,橋梁設計の新規開始|src:F4-1-002,Phase1_required,SOFTWARE_SPECIFIC,APOLLO_MANUAL_ONLY,P2,外部基準照合は不要。APOLLOの入出力・処理手順・ファイル形式として仕様候補を固定する。,画面/ファイル/処理順のソフト仕様,MAN-021,10; 4,2-2-2 ①; 1.2,構造形式選択ダイアログ,NONE,MAN-021「新規作成ボタンの後 構造形式の選択画面」; MAN-002「新規に橋梁を設計する場合は新規作成を選択」,NONE,NONE,UNKNOWN,NOT_SELECTED,YES,YES,NO,LOW,NO,NONE,NO_EXTERNAL_LOOKUP,candidate_hint=YES,IDENTIFIED
T5A-0003,F4-P1-003,project_management,既存データ選択,設計データの再開|src:F4-1-003,Phase1_required,SOFTWARE_SPECIFIC,APOLLO_MANUAL_ONLY,P2,外部基準照合は不要。APOLLOの入出力・処理手順・ファイル形式として仕様候補を固定する。,画面/ファイル/処理順のソフト仕様,MAN-002,6,1.3,既存データ選択ダイアログ,NONE,「設計データ（Mdbファイル：橋梁名称橋梁名称.mdb）を選択して下さい」,NONE,NONE,UNKNOWN,NOT_SELECTED,YES,NO,NO,LOW,NO,NONE,NO_EXTERNAL_LOOKUP,candidate_hint=YES,IDENTIFIED
T5A-0004,F4-P1-004,alignment_import,線形データ取込,既存線形データの読込み|src:F4-1-004,Phase1_required,SOFTWARE_SPECIFIC,APOLLO_MANUAL_ONLY,P2,外部基準照合は不要。APOLLOの入出力・処理手順・ファイル形式として仕様候補を固定する。,画面/ファイル/処理順のソフト仕様,MAN-021,12,2-2-2 ④,線形計算実行選択画面,NONE,「中段は既に別途Align線形計算が終了していてそのデータを取り込むことを示しています」「該当する線形データ（拡張子.alg）を選択して下さい」,NONE,NONE,UNKNOWN,NOT_SELECTED,NO,NO,NO,LOW,NO,NONE,NO_EXTERNAL_LOOKUP,candidate_hint=YES,IDENTIFIED
T5A-0005,F4-P1-005,longitudinal_alignment,縦断線定義,構造部材への線形割り当て|src:F4-1-005,Phase1_required,SOFTWARE_SPECIFIC,APOLLO_MANUAL_ONLY,P2,外部基準照合は不要。APOLLOの入出力・処理手順・ファイル形式として仕様候補を固定する。,画面/ファイル/処理順のソフト仕様,MAN-021,13,2-2-2 ⑤,線形線構造部材定義画面,NONE,「縦断線はAlign線形計算で定義済みなので確認をして下さい」,NONE,NONE,UNKNOWN,NOT_SELECTED,NO,NO,NO,LOW,NO,NONE,NO_EXTERNAL_LOOKUP,candidate_hint=YES,IDENTIFIED
T5A-0006,F4-P1-006,cross_section_lines,横断線定義,横桁・対傾構のデータセット|src:F4-1-006,Phase1_required,SOFTWARE_SPECIFIC,APOLLO_MANUAL_ONLY,P2,外部基準照合は不要。APOLLOの入出力・処理手順・ファイル形式として仕様候補を固定する。,画面/ファイル/処理順のソフト仕様,MAN-021,13,2-2-2 ⑤,線形線構造部材定義画面,NONE,「横断線は横桁対傾構などの部材をデータセットして下さい」,NONE,NONE,UNKNOWN,NOT_SELECTED,NO,NO,NO,LOW,NO,NONE,NO_EXTERNAL_LOOKUP,candidate_hint=YES,IDENTIFIED
T5A-0007,F4-P1-007,unit_system,単位系選択,SI単位系と重力単位系|src:F4-1-007,Phase1_required,MANUAL_DEFINED,APOLLO_MANUAL_ONLY,P1,単位系切替・自動変換有無はAPOLLO仕様として整理する。外部基準の単位定義との対応表が必要かだけ Stage5B で確認する。,ソフトの単位系挙動。基準の単位定義との対応は別途質問化しうる,MAN-021,27,4-2-1,NONE,NONE,「従来単位系とSI単位系は設計条件オプションにて選択します」「単位系SI単位系重力単位系」,NONE,NONE,UNKNOWN,NOT_SELECTED,YES,NO,NO,LOW,NO,NONE,EXTERNAL_SOURCE_LOOKUP,candidate_hint=YES,IDENTIFIED
T5A-0008,F4-P1-007,unit_system,単位系選択,SI単位系と重力単位系|src:F4-1-007,Phase1_required,STANDARD_TRACEABILITY_REQUIRED,RBS_COMMON,P1,APOLLOが扱う力・長さ・応力の単位系が、適用対象の道路橋示方書の表記・換算慣行と矛盾しないか確認する。,単位系の基準側慣行との整合確認が必要な場合がある,MAN-021,27,4-2-1,NONE,NONE,「従来単位系とSI単位系は設計条件オプションにて選択します」「単位系SI単位系重力単位系」,NONE,NONE,UNKNOWN,NOT_SELECTED,YES,NO,NO,LOW,NO,NONE,EXTERNAL_SOURCE_LOOKUP,candidate_hint=YES,IDENTIFIED
T5A-0009,F4-P1-008,unit_system,単位系自動変換なし,切替時の入力変換不可|src:F4-1-008,Phase1_required,MANUAL_DEFINED,APOLLO_MANUAL_ONLY,P1,単位系切替・自動変換有無はAPOLLO仕様として整理する。外部基準の単位定義との対応表が必要かだけ Stage5B で確認する。,ソフトの単位系挙動。基準の単位定義との対応は別途質問化しうる,MAN-021,27,4-2-1,NONE,NONE,「単位系を切り替えることによる荷重などの入力データの自動変換機能はありません」,NONE,NONE,UNKNOWN,NOT_SELECTED,YES,NO,NO,LOW,NO,NONE,EXTERNAL_SOURCE_LOOKUP,candidate_hint=YES,IDENTIFIED
T5A-0010,F4-P1-008,unit_system,単位系自動変換なし,切替時の入力変換不可|src:F4-1-008,Phase1_required,STANDARD_TRACEABILITY_REQUIRED,RBS_COMMON,P1,APOLLOが扱う力・長さ・応力の単位系が、適用対象の道路橋示方書の表記・換算慣行と矛盾しないか確認する。,単位系の基準側慣行との整合確認が必要な場合がある,MAN-021,27,4-2-1,NONE,NONE,「単位系を切り替えることによる荷重などの入力データの自動変換機能はありません」,NONE,NONE,UNKNOWN,NOT_SELECTED,YES,NO,NO,LOW,NO,NONE,EXTERNAL_SOURCE_LOOKUP,candidate_hint=YES,IDENTIFIED
