source_id,document,edition,phase1_role,applies_to,notes
SRC-RBS-I,道路橋示方書・同解説 Ⅰ 共通編,令和7年10月版 Ver.2.00（inventory CONFIRMED; Target NOT_SELECTED）,PRIMARY,"loads;materials;units;common design rules","Handoff DOC-RBS-I; 3 READY rows; image PDF; Rank6 PDF at ~/Projects/bridge-standards-research/260726_設計基準/"
SRC-RBS-II,道路橋示方書・同解説 Ⅱ 鋼部材・鋼上部構造編,令和7年10月版 Ver.2.00 改訂版第1刷（inventory CONFIRMED; Target NOT_SELECTED）,PRIMARY,"non-composite steel plate girder; splices; bracing; stiffeners","Handoff DOC-RBS-II; 63 READY rows; Stage5B PKG-004; JIS steel/bolt values still gap-blocked"
SRC-RBS-III,道路橋示方書・同解説 Ⅲ コンクリート部材・コンクリート上部構造編,令和7年10月版 Ver.2.00 改訂版第1刷（inventory CONFIRMED; Target NOT_SELECTED）,PRIMARY,"RC deck slab; concrete members","Handoff DOC-RBS-III; 1 READY row; Stage5B PKG-005; JIS rebar product specs gap-blocked"
SRC-RBS-IV,道路橋示方書・同解説 Ⅳ 下部構造編,令和7年10月版 Ver.2.00,SUPPORTING,"substructure; reactions; boundary conditions indirect","Phase1 not primary substructure design; inventory PHASE1_SUPPORT"
SRC-RBS-V,道路橋示方書・同解説 Ⅴ 上下部接続部編,令和7年10月版 Ver.2.00,SUPPORTING,"bearings; connections; unseating prevention","Boundary/connection auxiliary refs only"
SRC-R2-MAN,鋼道路橋設計便覧,R2版 改訂版第11刷（令和2年10月28日奥付; H29/11道示対応 序文参照）,SUPPORTING,"steel bridge practice checks; detailing procedures","Not co-equal with 道示; PARTIALLY_CONFIRMED alignment; Stage5B PKG-006"
SRC-H31-BRG,道路橋支承便覧（平成30年改訂版）,平成31年2月8日 改訂版第1刷（H29/11道示対応 序文参照）,SUPPORTING,"bearing selection; reaction; maintenance","Filename H31 vs cover H30 noted; not Phase1 primary design basis"
SRC-DDB-2021,デザインデータブック〔2021年版〕,2021年5月 改訂新版,SUPPORTING,"standard dimensions; practice data; plate girder tables","Handoff DOC-DDB; 2 READY rows; Stage5B PKG-007; UNCONFIRMED 道示 edition in preface; not mandatory code"
SRC-DET-GUIDE,鋼橋構造詳細の手引き 改訂3版,令和4年1月,SUPPORTING,"I-girder detailing; fabrication","Paper scan; NOT_STATED 道示 edition; auxiliary only"
SRC-COMP-EX,合成桁の設計例と解説（日本橋梁建設協会）,令和4年1月 / H29/11道示対応,OUT_OF_PHASE1,composite girders,"Deferred — Phase1 is 非合成鋼鈑桁"
SRC-BOX-EX,細幅箱桁橋の設計例と解説,令和3年6月表紙 / 2021年6月奥付 改訂第2版,OUT_OF_PHASE1,box girders,"Deferred — Phase1 is 鋼鈑桁 not 箱桁"
SRC-JIS-GAP,JIS primary standards (steel/rebar/bolt families),UNKNOWN — not bundled,REFERENCE_ONLY,"product material properties; bolt grades; rebar specs","34 handoff gaps JIS-001…034; HOLD — no 道示/DDB substitution; blocks numeric freeze"
SRC-HOFF-EVID,Handoff evidence PNG extracts,Stage5B capture dates,SUPPORTING,"traceability location memos for 69 READY reqs","Internal verification extracts; license constraints ISS-S1-010; not numeric authority"
SRC-BSR-INV,bridge-standards-research inventory CSV/MD,2026-07-26 review,REFERENCE_ONLY,"PDF edition verification; Phase1 priority classification","Rank4; supersedes nothing in Rank1 handoff"
