requirement_id,structure_type,member_type,required_performance,design_situation,limit_state,phase1_status,adoption_status,source,evidence_package,notes
PR-DS05-001,steel_superstructure,main_girder,bending_resistance_candidate,design_situation_unspecified,LS-DS05-001,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Candidate only — not Phase 1B authorized. Scope conflict unresolved: user formal DS-05 primary structure vs Step1 FROZEN_NARROW implementation boundary and catalog dispositions; ready_requirements.csv has no phase column (RDY-014 location memo REFERENCE_ONLY). Analysis availability does not authorize check. design_situation taxonomy unresolved.
PR-DS05-002,steel_superstructure,main_girder,shear_resistance_candidate,design_situation_unspecified,LS-DS05-002,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Scope conflict unresolved per PR-DS05-001. No allowable-stress substitution.
PR-DS05-003,steel_superstructure,main_girder,axial_resistance_candidate,design_situation_unspecified,LS-DS05-003,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Scope conflict unresolved per PR-DS05-001.
PR-DS05-004,steel_superstructure,main_girder,combined_bending_axial_resistance_candidate,design_situation_unspecified,LS-DS05-004,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Scope conflict unresolved per PR-DS05-001.
PR-DS05-005,steel_superstructure,main_girder,local_buckling_stability_candidate,design_situation_unspecified,LS-DS05-005,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS06,Scope conflict unresolved per PR-DS05-001.
PR-DS05-006,steel_superstructure,main_girder,global_buckling_stability_candidate,design_situation_unspecified,LS-DS05-006,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS06,Scope conflict unresolved per PR-DS05-001.
PR-DS05-007,steel_superstructure,main_girder,lateral_torsional_buckling_stability_candidate,design_situation_unspecified,LS-DS05-007,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS06,Scope conflict unresolved per PR-DS05-001.
PR-DS05-008,steel_superstructure,main_girder,deflection_serviceability_candidate,design_situation_unspecified,LS-DS05-008,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS06,SLS/limit-value mapping blocked. Scope conflict unresolved per PR-DS05-001.
PR-DS05-009,steel_superstructure,cross_girder,bending_resistance_candidate,design_situation_unspecified,LS-DS05-009,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Minimum candidate check — Phase 1B inclusion blocked pending supervisor Phase1B member table (PKG-SCOPE-P1B). Not confirmed R7 terminology.
PR-DS05-010,steel_superstructure,cross_girder,shear_resistance_candidate,design_situation_unspecified,LS-DS05-010,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Minimum candidate check — blocked pending PKG-SCOPE-P1B.
