duplicate_group_id,asset_id,duplicate_type,evidence,recommended_canonical_asset,notes
DG-1,DOC-X0-0032,EXACT_SHA256,SHA256完全一致,SR-03/001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,同一ファイルのコピー。正本候補。
DG-1,DOC-X0-0036,EXACT_SHA256,SHA256完全一致,SR-03/001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,同一ファイルのコピー。正本候補。
DG-1,DOC-X0-0041,EXACT_SHA256,SHA256完全一致,SR-03/001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,同一ファイルのコピー。正本候補。
DG-1,DOC-X0-0058,EXACT_SHA256,SHA256完全一致,SR-03/001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,同一ファイルのコピー。正本候補。
DG-2,DOC-X0-0035,EXACT_SHA256,SHA256完全一致,SR-03/マニュアル/JIP-LINER_マニュアル.pdf,同一ファイルのコピー。コピー。正本はcanonical列参照。
DG-2,DOC-X0-0039,EXACT_SHA256,SHA256完全一致,SR-03/マニュアル/JIP-LINER_マニュアル.pdf,同一ファイルのコピー。正本候補。
DG-2,DOC-X0-0056,EXACT_SHA256,SHA256完全一致,SR-03/マニュアル/JIP-LINER_マニュアル.pdf,同一ファイルのコピー。正本候補。
DG-2,DOC-X0-0136,EXACT_SHA256,SHA256完全一致,SR-03/マニュアル/JIP-LINER_マニュアル.pdf,同一ファイルのコピー。正本候補。
DG-3,DOC-X0-0038,EXACT_SHA256,SHA256完全一致,SR-03/level2-type2.xls,同一ファイルのコピー。正本候補。
DG-3,DOC-X0-0055,EXACT_SHA256,SHA256完全一致,SR-03/level2-type2.xls,同一ファイルのコピー。正本候補。
DG-3,DOC-X0-0059,EXACT_SHA256,SHA256完全一致,SR-03/level2-type2.xls,同一ファイルのコピー。正本候補。
DG-4,DOC-X0-0040,EXACT_SHA256,SHA256完全一致,SR-03/マニュアル/SPACER操作マニュアル.pdf,同一ファイルのコピー。正本候補。
DG-4,DOC-X0-0057,EXACT_SHA256,SHA256完全一致,SR-03/マニュアル/SPACER操作マニュアル.pdf,同一ファイルのコピー。正本候補。
DG-4,DOC-X0-0137,EXACT_SHA256,SHA256完全一致,SR-03/マニュアル/SPACER操作マニュアル.pdf,同一ファイルのコピー。正本候補。
DG-5,DOC-X0-0033,EXACT_SHA256,SHA256完全一致,SR-01/鋼鈑桁橋_図面例.pdf,同一ファイルのコピー。正本候補。
DG-5,DOC-X0-0146,EXACT_SHA256,SHA256完全一致,SR-01/鋼鈑桁橋_図面例.pdf,同一ファイルのコピー。正本候補。
DG-6,DOC-X0-0034,EXACT_SHA256,SHA256完全一致,SR-01/鋼鈑桁橋_設計計算例.pdf,同一ファイルのコピー。正本候補。
DG-6,DOC-X0-0147,EXACT_SHA256,SHA256完全一致,SR-01/鋼鈑桁橋_設計計算例.pdf,同一ファイルのコピー。正本候補。
DG-7,DOC-X0-0037,EXACT_SHA256,SHA256完全一致,SR-03/level2-type2.csv,同一ファイルのコピー。正本候補。
DG-7,DOC-X0-0054,EXACT_SHA256,SHA256完全一致,SR-03/level2-type2.csv,同一ファイルのコピー。正本候補。
