formula_id,category,phase_a_step,description,integration_state,adoption_status,numeric_value_status,authorization_status,source_document,evidence_location
LM-DS04-001,load_model,A3,死荷重モデル,LM-DS04-001..014 を DS-04 レジスタから参照,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,未採択（数値 0）,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-R7-V; PKG-DS03; PKG-DS04
LM-DS04-002,load_model,A3,活荷重モデル,同上,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,未採択（数値 0）,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-R7-V; PKG-DS03; PKG-DS04
LM-DS04-003,load_model,A3,衝撃（動的影響）ポインタ,LM-DS04-007 は LF-DS04-010 へのポインタのみ、二重適用禁止,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,未採択（数値 0）,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-R7-V; PKG-DS04
LM-DS04-004,load_model,A3,風荷重,同上,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,未採択（数値 0）,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-R7-V
LM-DS04-005,load_model,A3,温度荷重,同上,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,未採択（数値 0）,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-R7-V
LM-DS04-006,load_model,A3,プレストレス・施工時,同上,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,未採択（数値 0）,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-R7-V
LM-DS04-007,load_model,A3,動的影響（ポインタ）,LF-DS04-010 が単一数値オーナー,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,未採択（数値 0）,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-R7-V; PKG-DS04
LM-DS04-008,load_model,A3,主桁用荷重組合せ,汎用組合せシェル COMB-DS04-001 を参照,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,未採択（数値 0）,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-R7-V; PKG-DS04
LM-DS04-009,load_model,A3,床版用荷重組合せ,同上,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,未採択（数値 0）,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-R7-V; PKG-DS04
LM-DS04-010,load_model,A3,疲労用荷重（データ境界）,Phase 1 は OUT_OF_SCOPE、入力枠のみ定義,OUT_OF_SCOPE,未採択,NOT_AUTHORIZED,DS-04 load_model_register.csv,PKG-SCOPE-P1B
