trace_id,from_rule,to_entity,trace_type,source_mapping,mapping_id,status,evidence_status,source_phase,notes
TR-001,RO-012,PR-004,STANDARD_RULE→ADOPTED_VALUE,ROAD_CALC_MAPPING,RC-001,CONSISTENT,FACT,X1/X1.5,最小曲線半径規定値→実案件R=1900
TR-002,RO-003,BR-001,STANDARD_RULE→ADOPTED_VALUE,BRIDGE_CALC_MAPPING,BC-001,CONSISTENT,FACT,X1/X1.5,設計速度（V=40）→橋梁設計条件
TR-003,RO-017,PR-003,STANDARD_RULE→ADOPTED_VALUE,ROAD_CALC_MAPPING,RC-003,CONSISTENT,FACT,X1/X1.5,緩和区間→クロソイドA=450/500/550
TR-004,RO-031,BR-001,STANDARD_RULE→ADOPTED_VALUE,BRIDGE_CALC_MAPPING,BC-007,CONSISTENT,FACT,X1/X1.5,横断勾配→橋梁5.000%
TR-005,RO-027,BR-001,STANDARD_RULE→ADOPTED_VALUE,BRIDGE_CALC_MAPPING,BC-006,CONSISTENT,FACT,X1/X1.5,縦断勾配→橋梁6.000%
TR-006,PR-001,BR-004,ADOPTED_VALUE→APOLLO_CANDIDATE,ROAD_TO_BRIDGE_EVIDENCE,RBE-009,CROSS_CHECKED,CROSS_CHECKED,X1.5,測点→格点C1-C23
TR-007,BR-002,source_record,STANDARD_RULE→APOLLO_CANDIDATE,APOLLO_CANDIDATE_CROSSWALK,BW-001,CROSS_CHECKED,CROSS_CHECKED,X1.5/Apollo,斜角→Apollo trace
TR-008,PR-004,source_record,ADOPTED_VALUE→APOLLO_CANDIDATE,APOLLO_CANDIDATE_CROSSWALK,BW-002,CROSS_CHECKED,CROSS_CHECKED,X1.5/Apollo,座標→Apollo trace
TR-009,PM-001,UNKNOWN,STANDARD_RULE→PROJECT,PROJECT_RULE_MAPPING,PM-001,UNRESOLVED,UNRESOLVED,X1.5,道路区分→線形計算書に明記なし
TR-010,PM-008,UNKNOWN,STANDARD_RULE→PROJECT,PROJECT_RULE_MAPPING,PM-008,UNRESOLVED,UNRESOLVED,X1.5,設計速度→線形計算書に明記なし
