rule_id,rule_version,rule_category,title,knowledge_entity,source_evidence_ids,applicability,inputs,input_units,constraints,formula_id,outputs,output_units,exceptions,validation_severity,error_code,execution_order,dependencies,liner_module,geometry_interface,road_bridge_interface,apollo_mapping,test_case_ids,implementation_priority,x3_readiness,notes
X2-R-001,1.0,ROAD_CLASSIFICATION,道路区分決定,ENT:STANDARD_RULE,EV-011,道路の種類・地域・地形・計画交通量,"種級,地域,地形,計画交通量","-,km/h,台/日",種級区分表(第1種〜第4種・級別),TABLE-01,種級区分,-,-,ERROR,LR-RULE-CLASS-001,1,-,LINER/INPUT,ALIGNMENT,-,-,TC-001,P0,READY_FOR_IMPLEMENTATION,表1-1実装可能
X2-R-002,1.0,DESIGN_SPEED,設計速度決定,ENT:STANDARD_RULE,EV-011,種級・地形,"種級,地形","-,km/h",設計速度表(第13条),TABLE-02,設計速度(km/h),km/h,-,ERROR,LR-RULE-SPEED-001,2,X2-R-001,LINER/INPUT,ALIGNMENT,-,-,TC-002,P0,READY_FOR_IMPLEMENTATION,設計速度表実装可能
X2-R-003,1.0,DESIGN_VEHICLE,設計車両諸元,ENT:STANDARD_RULE,EV-011,道路区分,種級,-,設計車両諸元表(第4条),TABLE-03,設計車両諸元(全長/全幅/軸距/回転半径),m,-,ERROR,LR-RULE-VEHICLE-001,3,-,LINER/INPUT,ALIGNMENT,-,-,TC-003,P0,READY_FOR_IMPLEMENTATION,諸元表実装可能
X2-R-004,1.0,LANE_WIDTH,車線幅員決定,ENT:STANDARD_RULE,EV-011,種級・設計速度,"種級,設計速度","-,km/h",車線幅員表(第5条),TABLE-04,車線幅員(m),m,0.25m縮小条件(設計速度60区間・大型車混入率低),INFO,LR-RULE-LANE-001,4,X2-R-001,LINER/CROSS-SECTION,CROSS_SECTION,-,-,TC-004,P0,READY_FOR_IMPLEMENTATION,
X2-R-005,1.0,MEDIAN,中央帯幅員決定,ENT:STANDARD_RULE,EV-011,種級,種級,-,中央帯幅員表(第6条),TABLE-05,中央帯幅員(m),m,長大区間100m以上・高架で縮小可,WARNING,LR-RULE-MEDIAN-001,5,X2-R-001,LINER/CROSS-SECTION,CROSS_SECTION,-,-,TC-005,P0,READY_FOR_IMPLEMENTATION,
X2-R-006,1.0,SHOULDER_WIDTH,路肩幅員決定,ENT:STANDARD_RULE,EV-011,種級・普通/小型,"種級,道路種別",-,路肩幅員表(第13条),TABLE-06,路肩幅員(m),m,付加追越車線・長大50m・高架で縮小可,WARNING,LR-RULE-SHOULDER-001,6,X2-R-001,LINER/CROSS-SECTION,CROSS_SECTION,-,-,TC-006,P0,READY_FOR_IMPLEMENTATION,
X2-R-007,1.0,CURVE_RADIUS,最小曲線半径照査,ENT:STANDARD_RULE,EV-011,設計速度・片勾配・横摩擦,"設計速度V,横摩擦係数f,片勾配i","km/h,-,%",表3-5(規定値)・表3-6(望ましい値),TABLE-07,最小曲線半径R(m),m,片勾配10%で縮小可(地形等特別理由),ERROR,LR-RULE-RADIUS-001,7,X2-R-002,LINER/ALIGNMENT,ALIGNMENT_ELEMENT,-,-,TC-007,P0,READY_FOR_IMPLEMENTATION,R=V^2/(127(f+i/100))
X2-R-008,1.0,TRANSITION_CURVE,緩和区間・クロソイド設定,ENT:STANDARD_RULE,"EV-003,EV-011",屈曲部・第4種例外,"曲線半径R,設計速度V","m,km/h",第18条・クロソイドA,FORMULA-01,緩和曲線長・A値,m,第4種は省略可(特別理由),WARNING,LR-RULE-TRANS-001,8,X2-R-002,LINER/ALIGNMENT,ALIGNMENT_ELEMENT,-,-,TC-008,P0,READY_FOR_IMPLEMENTATION,LINER要素A=350 R=3000対応
X2-R-009,1.0,SUPERELEVATION,片勾配設定,ENT:STANDARD_RULE,EV-011,設計速度・曲線半径・地域,"設計速度V,曲線半径R,地域","km/h,m,-",最大片勾配表(第16条),TABLE-08,片勾配i(%),%,第4種は省略可,ERROR,LR-RULE-SUPER-001,9,X2-R-007,LINER/ALIGNMENT,CROSSFALL,-,-,TC-009,P0,READY_FOR_IMPLEMENTATION,最大10%/6%
X2-R-010,1.0,SIGHT_DISTANCE,視距照査,ENT:STANDARD_RULE,EV-011,設計速度,設計速度V,km/h,視距表(第19条),TABLE-09,視距(m),m,-,ERROR,LR-RULE-SIGHT-001,10,X2-R-002,LINER/ALIGNMENT,ALIGNMENT,-,-,TC-010,P1,READY_FOR_IMPLEMENTATION,V=30の値要確認(UR-006)
