golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0069,load_value.pavement,ENT-LINE-ACL,1.800,kN/m2,1.800,kN/m2,LOAD_VALUE,"LOAD-001,CAL-VAL-P00119-003",LD-009,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: pavement
GIN-0070,load_value.deck,ENT-LINE-ACL,6.325,kN/m2,6.325,kN/m2,LOAD_VALUE,"LOAD-002,CAL-VAL-P00119-006",LD-010,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: deck
GIN-0071,load_value.haunch,ENT-LINE-ACL,2.842,kN/m,2.842,kN/m,LOAD_VALUE,"LOAD-003,CAL-VAL-P00119-007",LD-011,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: haunch AG1/AG2
GIN-0072,load_value.wall_rail,ENT-LINE-ACL,9.920,kN/m,9.920,kN/m,LOAD_VALUE,"LOAD-004,CAL-VAL-P00119-008",LD-012,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: wall rail per side
GIN-0073,load_value.sound_barrier,ENT-LINE-ACL,2.100,kN/m,2.100,kN/m,LOAD_VALUE,"LOAD-005,CAL-VAL-P00119-009",LD-013,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: sound barrier
GIN-0074,load_value.steel,ENT-LINE-ACL,12.000,kN/m,12.000,kN/m,LOAD_VALUE,"LOAD-006,CAL-VAL-P00119-010",LD-014,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: steel per girder
GIN-0075,load_value.inspection,ENT-LINE-ACL,1.000,kN/m,1.000,kN/m,LOAD_VALUE,"LOAD-007,CAL-VAL-P00119-011",LD-015,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: inspection walkway
GIN-0076,load_value.nose,ENT-LINE-ACL,1.000,kN/m,1.000,kN/m,LOAD_VALUE,"LOAD-008,CAL-VAL-P00119-013",LD-016,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: nose
GIN-0077,load_value.curb,ENT-LINE-ACL,2.100,kN/m,2.100,kN/m,LOAD_VALUE,"LOAD-009,CAL-VAL-P00119-012",LD-017,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: curb
GIN-0078,load_value.wind_outer,ENT-LINE-ACL,3.00,kN/m2,3.00,kN/m2,LOAD_VALUE,"LOAD-014,CH2-VAL-006",LD-018,calc_pdf_p18,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Design wind load outer side
GIN-0079,load_value.wind_inner,ENT-LINE-ACL,1.50,kN/m2,1.50,kN/m2,LOAD_VALUE,"LOAD-015,CH2-VAL-007",LD-019,calc_pdf_p18,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Design wind load inner side
